,Time,Amount signed,Amount,Type
0,2022-02-14,36654.030899,36654.03,pLuna LP
1,2022-02-15,32282.07911,68936.11,pLuna LP
2,2022-02-16,2075.358385,71011.47,pLuna LP
3,2022-02-17,-6336.302653999999,64675.17,pLuna LP
4,2022-02-18,-7555.378146,57119.79,pLuna LP
5,2022-02-19,-755.5734980000001,56364.21,pLuna LP
6,2022-02-20,-4446.289777,51917.92,pLuna LP
7,2022-02-21,-3964.1015379999994,47953.82,pLuna LP
8,2022-02-22,-7383.440141,40570.38,pLuna LP
9,2022-02-23,-1835.8950769999997,38734.49,pLuna LP
10,2022-02-24,-2162.626117,36571.86,pLuna LP
11,2022-02-25,-438.06296299999974,36133.8,pLuna LP
12,2022-02-26,819.0065169999998,36952.81,pLuna LP
13,2022-02-27,-175.04625100000004,36777.76,pLuna LP
14,2022-02-28,-2711.089715,34066.67,pLuna LP
15,2022-03-01,-783.709977,33282.96,pLuna LP
16,2022-03-02,1963.26016,35246.22,pLuna LP
17,2022-03-03,1822.989215,37069.21,pLuna LP
18,2022-03-04,-782.9930350000001,36286.22,pLuna LP
19,2022-03-05,3213.2515049999997,39499.47,pLuna LP
20,2022-03-06,2395.093997,41894.56,pLuna LP
21,2022-03-07,-1487.8983600000001,40406.66,pLuna LP
22,2022-03-08,2732.845358,43139.51,pLuna LP
23,2022-03-09,1553.186648,44692.69,pLuna LP
24,2022-03-10,978.7115529999999,45671.41,pLuna LP
25,2022-03-11,648.4186569999998,46319.82,pLuna LP
26,2022-03-12,804.4794449999999,47124.3,pLuna LP
27,2022-03-13,1575.1600059999998,48699.46,pLuna LP
28,2022-03-14,365.6767259999998,49065.14,pLuna LP
29,2022-03-15,3874.271253,52939.41,pLuna LP
30,2022-03-16,-1452.7126509999998,51486.7,pLuna LP
31,2022-03-17,1672.367737,53159.07,pLuna LP
32,2022-03-18,498.51014899999984,53657.58,pLuna LP
33,2022-03-19,1428.917029,55086.49,pLuna LP
34,2022-03-20,1556.389093,56642.88,pLuna LP
35,2022-03-21,79609.82163,136252.71,pLuna LP
36,2022-03-22,3338.682407,139591.39,pLuna LP
37,2022-03-23,2831.830099,142423.22,pLuna LP
