day,Other,UST,xPRISM
2022-04-20,0.0,12810.277469,120.40780199999999
2022-04-21,212772.359291,552632.108804,43698.538592
2022-04-22,325187.699035,115632.03369299999,33331.260909
2022-04-23,83578.108978,139587.760022,125748.792757
2022-04-24,75903.80005,126204.20744,26646.163337
2022-04-25,519275.45160000003,475646.897937,100262.819687
2022-04-26,258224.73657900002,99146.364146,25441.745457999998
2022-04-27,23322.226346,42851.231272000005,16864.237534
2022-04-28,10703.549207,105393.285398,26925.878879
2022-04-29,14639.535336,49495.852243,72390.721456
2022-04-30,19482.134271,85634.466864,86178.673174
2022-05-01,22049.44405,35855.279477,82805.292462
2022-05-02,16851.164316,52846.855312,60720.224311
2022-05-03,10081.286793000001,41942.591329,33525.982484
2022-05-04,7600.39069,47208.020271,40426.715792
2022-05-05,15390.623164,171459.931594,72045.06868
2022-05-06,8053.616066,65188.077759,67705.33968599999
2022-05-07,43764.847432,77453.555267,94435.600769
2022-05-08,19898.487979,42766.14559,106367.813317
