,Date,Total Prism,Normal,Boost
0,2022-03-06,356164.38356164383,284931.5068493151,71232.87671232877
1,2022-03-07,712328.7671232877,569863.0136986302,142465.75342465754
2,2022-03-08,1068493.1506849315,854794.5205479453,213698.63013698632
3,2022-03-09,1424657.5342465753,1139726.0273972603,284931.5068493151
4,2022-03-10,1780821.917808219,1424657.5342465753,356164.38356164383
5,2022-03-11,2136986.301369863,1709589.0410958906,427397.26027397264
6,2022-03-12,2493150.684931507,1994520.5479452056,498630.1369863014
7,2022-03-13,2849315.0684931506,2279452.0547945206,569863.0136986302
8,2022-03-14,3205479.4520547944,2564383.5616438356,641095.8904109589
9,2022-03-15,3561643.835616438,2849315.0684931506,712328.7671232877
10,2022-03-16,3917808.219178082,3134246.5753424657,783561.6438356164
11,2022-03-17,4273972.602739726,3419178.082191781,854794.5205479453
12,2022-03-18,4630136.98630137,3704109.589041096,926027.397260274
13,2022-03-19,4986301.369863014,3989041.095890411,997260.2739726028
14,2022-03-20,5342465.7534246575,4273972.602739726,1068493.1506849315
15,2022-03-21,5698630.136986301,4558904.109589041,1139726.0273972603
16,2022-03-22,6054794.520547945,4843835.616438356,1210958.904109589
17,2022-03-23,6410958.904109589,5128767.123287671,1282191.7808219178
18,2022-03-24,6767123.287671233,5413698.630136986,1353424.6575342466
19,2022-03-25,7123287.671232876,5698630.136986301,1424657.5342465753
20,2022-03-26,7479452.05479452,5983561.643835616,1495890.410958904
21,2022-03-27,7835616.438356164,6268493.150684931,1567123.2876712328
22,2022-03-28,8191780.821917808,6553424.657534246,1638356.1643835616
23,2022-03-29,8547945.205479452,6838356.164383562,1709589.0410958906
24,2022-03-30,8904109.589041095,7123287.671232877,1780821.9178082193
25,2022-03-31,9260273.97260274,7408219.178082192,1852054.794520548
26,2022-04-01,9616438.356164383,7693150.684931507,1923287.6712328768
27,2022-04-02,9972602.739726027,7978082.191780822,1994520.5479452056
28,2022-04-03,10328767.12328767,8263013.698630137,2065753.4246575343
29,2022-04-04,10684931.506849315,8547945.205479452,2136986.301369863
30,2022-04-05,11041095.890410958,8832876.712328767,2208219.178082192
31,2022-04-06,11397260.273972603,9117808.219178082,2279452.0547945206
32,2022-04-07,11753424.657534247,9402739.726027397,2350684.9315068494
33,2022-04-08,12109589.04109589,9687671.232876712,2421917.808219178
34,2022-04-09,12465753.424657535,9972602.739726027,2493150.684931507
35,2022-04-10,12821917.808219178,10257534.246575342,2564383.5616438356
36,2022-04-11,13178082.191780822,10542465.753424658,2635616.4383561644
37,2022-04-12,13534246.575342465,10827397.260273973,2706849.315068493
38,2022-04-13,13890410.95890411,11112328.767123288,2778082.191780822
39,2022-04-14,14246575.342465753,11397260.273972603,2849315.0684931506
40,2022-04-15,14602739.726027397,11682191.780821918,2920547.9452054794
41,2022-04-16,14958904.10958904,11967123.287671233,2991780.821917808
42,2022-04-17,15315068.493150685,12252054.794520548,3063013.698630137
43,2022-04-18,15671232.876712328,12536986.301369863,3134246.5753424657
44,2022-04-19,16027397.260273973,12821917.808219178,3205479.4520547944
45,2022-04-20,16383561.643835615,13106849.315068493,3276712.328767123
46,2022-04-21,16739726.02739726,13391780.821917808,3347945.205479452
47,2022-04-22,17095890.410958905,13676712.328767125,3419178.082191781
48,2022-04-23,17452054.79452055,13961643.83561644,3490410.95890411
49,2022-04-24,17808219.17808219,14246575.342465755,3561643.8356164386
50,2022-04-25,18164383.561643835,14531506.84931507,3632876.7123287674
51,2022-04-26,18520547.94520548,14816438.356164385,3704109.589041096
52,2022-04-27,18876712.328767125,15101369.8630137,3775342.465753425
53,2022-04-28,19232876.712328766,15386301.369863015,3846575.3424657537
54,2022-04-29,19589041.09589041,15671232.87671233,3917808.2191780824
55,2022-04-30,19945205.479452055,15956164.383561645,3989041.095890411
56,2022-05-01,20301369.8630137,16241095.89041096,4060273.97260274
57,2022-05-02,20657534.24657534,16526027.397260275,4131506.8493150687
58,2022-05-03,21013698.630136985,16810958.90410959,4202739.726027397
59,2022-05-04,21369863.01369863,17095890.410958905,4273972.602739726
60,2022-05-05,21726027.397260275,17380821.91780822,4345205.479452055
61,2022-05-06,22082191.780821916,17665753.424657535,4416438.356164384
62,2022-05-07,22438356.16438356,17950684.93150685,4487671.232876712
63,2022-05-08,22794520.547945205,18235616.438356165,4558904.109589041
64,2022-05-09,23150684.93150685,18520547.94520548,4630136.98630137
65,2022-05-10,23506849.315068495,18805479.452054795,4701369.863013699
66,2022-05-11,23863013.698630136,19090410.95890411,4772602.7397260275
67,2022-05-12,24219178.08219178,19375342.465753425,4843835.616438356
68,2022-05-13,24575342.465753425,19660273.97260274,4915068.493150685
69,2022-05-14,24931506.84931507,19945205.479452055,4986301.369863014
70,2022-05-15,25287671.23287671,20230136.98630137,5057534.2465753425
71,2022-05-16,25643835.616438355,20515068.493150685,5128767.123287671
72,2022-05-17,26000000.0,20800000.0,5200000.0
73,2022-05-18,26356164.383561645,21084931.506849315,5271232.876712329
74,2022-05-19,26712328.767123286,21369863.01369863,5342465.7534246575
75,2022-05-20,27068493.15068493,21654794.520547945,5413698.630136986
76,2022-05-21,27424657.534246575,21939726.02739726,5484931.506849315
77,2022-05-22,27780821.91780822,22224657.534246575,5556164.383561644
78,2022-05-23,28136986.30136986,22509589.04109589,5627397.2602739725
79,2022-05-24,28493150.684931505,22794520.547945205,5698630.136986301
80,2022-05-25,28849315.06849315,23079452.05479452,5769863.01369863
81,2022-05-26,29205479.452054795,23364383.561643835,5841095.890410959
82,2022-05-27,29561643.83561644,23649315.06849315,5912328.767123288
83,2022-05-28,29917808.21917808,23934246.575342465,5983561.643835616
84,2022-05-29,30273972.602739725,24219178.08219178,6054794.520547945
85,2022-05-30,30630136.98630137,24504109.589041095,6126027.397260274
86,2022-05-31,30986301.369863015,24789041.09589041,6197260.273972603
87,2022-06-01,31342465.753424656,25073972.602739725,6268493.150684931
88,2022-06-02,31698630.1369863,25358904.10958904,6339726.02739726
89,2022-06-03,32054794.520547945,25643835.616438355,6410958.904109589
90,2022-06-04,32410958.90410959,25928767.12328767,6482191.780821918
91,2022-06-05,32767123.28767123,26213698.630136985,6553424.657534246
92,2022-06-06,33123287.671232875,26498630.1369863,6624657.534246575
93,2022-06-07,33479452.05479452,26783561.643835615,6695890.410958904
94,2022-06-08,33835616.43835616,27068493.15068493,6767123.287671233
95,2022-06-09,34191780.82191781,27353424.65753425,6838356.164383562
96,2022-06-10,34547945.20547945,27638356.164383564,6909589.041095891
97,2022-06-11,34904109.5890411,27923287.67123288,6980821.91780822
98,2022-06-12,35260273.97260274,28208219.178082194,7052054.794520549
99,2022-06-13,35616438.35616438,28493150.68493151,7123287.671232877
100,2022-06-14,35972602.73972603,28778082.191780824,7194520.547945206
101,2022-06-15,36328767.12328767,29063013.69863014,7265753.424657535
102,2022-06-16,36684931.50684931,29347945.205479454,7336986.301369864
103,2022-06-17,37041095.89041096,29632876.71232877,7408219.178082192
104,2022-06-18,37397260.2739726,29917808.219178084,7479452.054794521
105,2022-06-19,37753424.65753425,30202739.7260274,7550684.93150685
106,2022-06-20,38109589.04109589,30487671.232876714,7621917.808219179
107,2022-06-21,38465753.42465753,30772602.73972603,7693150.684931507
108,2022-06-22,38821917.80821918,31057534.246575344,7764383.561643836
109,2022-06-23,39178082.19178082,31342465.75342466,7835616.438356165
110,2022-06-24,39534246.57534246,31627397.260273974,7906849.315068494
111,2022-06-25,39890410.95890411,31912328.76712329,7978082.191780822
112,2022-06-26,40246575.34246575,32197260.273972604,8049315.068493151
113,2022-06-27,40602739.7260274,32482191.78082192,8120547.94520548
114,2022-06-28,40958904.10958904,32767123.287671234,8191780.821917809
115,2022-06-29,41315068.49315068,33052054.79452055,8263013.698630137
116,2022-06-30,41671232.87671233,33336986.301369864,8334246.575342466
117,2022-07-01,42027397.26027397,33621917.80821918,8405479.452054795
118,2022-07-02,42383561.64383562,33906849.31506849,8476712.328767123
119,2022-07-03,42739726.02739726,34191780.82191781,8547945.205479452
120,2022-07-04,43095890.4109589,34476712.32876712,8619178.08219178
121,2022-07-05,43452054.79452055,34761643.83561644,8690410.95890411
122,2022-07-06,43808219.17808219,35046575.34246575,8761643.835616438
123,2022-07-07,44164383.56164383,35331506.84931507,8832876.712328767
124,2022-07-08,44520547.94520548,35616438.35616438,8904109.589041095
125,2022-07-09,44876712.32876712,35901369.8630137,8975342.465753425
126,2022-07-10,45232876.71232877,36186301.36986301,9046575.342465753
127,2022-07-11,45589041.09589041,36471232.87671233,9117808.219178082
128,2022-07-12,45945205.47945205,36756164.38356165,9189041.095890412
129,2022-07-13,46301369.8630137,37041095.89041096,9260273.97260274
130,2022-07-14,46657534.24657534,37326027.39726028,9331506.84931507
131,2022-07-15,47013698.63013699,37610958.90410959,9402739.726027397
132,2022-07-16,47369863.01369863,37895890.41095891,9473972.602739727
133,2022-07-17,47726027.39726027,38180821.91780822,9545205.479452055
134,2022-07-18,48082191.78082192,38465753.42465754,9616438.356164385
135,2022-07-19,48438356.16438356,38750684.93150685,9687671.232876712
136,2022-07-20,48794520.5479452,39035616.43835617,9758904.109589042
137,2022-07-21,49150684.93150685,39320547.94520548,9830136.98630137
138,2022-07-22,49506849.31506849,39605479.4520548,9901369.8630137
139,2022-07-23,49863013.69863014,39890410.95890411,9972602.739726027
140,2022-07-24,50219178.08219178,40175342.46575343,10043835.616438357
141,2022-07-25,50575342.46575342,40460273.97260274,10115068.493150685
142,2022-07-26,50931506.84931507,40745205.47945206,10186301.369863015
143,2022-07-27,51287671.23287671,41030136.98630137,10257534.246575342
144,2022-07-28,51643835.61643836,41315068.49315069,10328767.123287672
145,2022-07-29,52000000.0,41600000.0,10400000.0
146,2022-07-30,52356164.38356164,41884931.50684932,10471232.87671233
147,2022-07-31,52712328.76712329,42169863.01369863,10542465.753424658
148,2022-08-01,53068493.15068493,42454794.52054795,10613698.630136987
149,2022-08-02,53424657.53424657,42739726.02739726,10684931.506849315
150,2022-08-03,53780821.91780822,43024657.53424658,10756164.383561645
151,2022-08-04,54136986.30136986,43309589.04109589,10827397.260273973
152,2022-08-05,54493150.68493151,43594520.54794521,10898630.136986302
153,2022-08-06,54849315.06849315,43879452.05479452,10969863.01369863
154,2022-08-07,55205479.45205479,44164383.56164384,11041095.89041096
155,2022-08-08,55561643.83561644,44449315.06849315,11112328.767123288
156,2022-08-09,55917808.21917808,44734246.57534247,11183561.643835617
157,2022-08-10,56273972.60273972,45019178.08219178,11254794.520547945
158,2022-08-11,56630136.98630137,45304109.5890411,11326027.397260275
159,2022-08-12,56986301.36986301,45589041.09589041,11397260.273972603
160,2022-08-13,57342465.75342466,45873972.60273973,11468493.150684932
161,2022-08-14,57698630.1369863,46158904.10958904,11539726.02739726
162,2022-08-15,58054794.52054794,46443835.61643836,11610958.90410959
163,2022-08-16,58410958.90410959,46728767.12328767,11682191.780821918
164,2022-08-17,58767123.28767123,47013698.63013699,11753424.657534247
165,2022-08-18,59123287.67123288,47298630.1369863,11824657.534246575
166,2022-08-19,59479452.05479452,47583561.64383562,11895890.410958905
167,2022-08-20,59835616.43835616,47868493.15068493,11967123.287671233
168,2022-08-21,60191780.82191781,48153424.65753425,12038356.164383562
169,2022-08-22,60547945.20547945,48438356.16438356,12109589.04109589
170,2022-08-23,60904109.58904109,48723287.67123288,12180821.91780822
171,2022-08-24,61260273.97260274,49008219.17808219,12252054.794520548
172,2022-08-25,61616438.35616438,49293150.68493151,12323287.671232877
173,2022-08-26,61972602.73972603,49578082.19178082,12394520.547945205
