,Time,Amount signed,Amount,Type
0,2022-02-14,890610.824139,594873.3099999999,yLuna unused
1,2022-02-15,213620.887294,7842.320000000065,yLuna unused
2,2022-02-16,36275.244129,0.0,yLuna unused
3,2022-02-17,390554.87000500003,0.0,yLuna unused
4,2022-02-18,19638.781506,0.0,yLuna unused
5,2022-02-19,9064.300172,0.0,yLuna unused
6,2022-02-20,5243.9169790000005,0.0,yLuna unused
7,2022-02-21,-5321.983477,0.0,yLuna unused
8,2022-02-22,2105.9475759999996,0.0,yLuna unused
9,2022-02-23,4916.502091,0.0,yLuna unused
10,2022-02-24,59.87308000000019,0.0,yLuna unused
11,2022-02-25,4427.881713,0.0,yLuna unused
12,2022-02-26,32790.448773,10614.969999999972,yLuna unused
13,2022-02-27,862.6480180000005,0.0,yLuna unused
14,2022-02-28,-740.056402,0.0,yLuna unused
15,2022-03-01,-406.14769400000006,1110.0999999998603,yLuna unused
16,2022-03-02,201313.625464,202031.57000000007,yLuna unused
17,2022-03-03,1107.788912,201691.7000000002,yLuna unused
18,2022-03-04,2957.8325449999998,202768.57000000007,yLuna unused
19,2022-03-05,8202.863348,202831.74,yLuna unused
20,2022-03-06,35123.363945,208385.08999999985,yLuna unused
21,2022-03-07,267274.641947,202551.23999999976,yLuna unused
22,2022-03-08,97085.255618,202380.79000000004,yLuna unused
23,2022-03-09,257805.870022,203963.21000000043,yLuna unused
24,2022-03-10,65275.352172,204280.5799999996,yLuna unused
25,2022-03-11,418884.825953,212332.00999999978,yLuna unused
26,2022-03-12,28830.129761,212592.05000000028,yLuna unused
27,2022-03-13,21950.35582,210159.40999999968,yLuna unused
28,2022-03-14,7962.613467000003,209129.72999999952,yLuna unused
29,2022-03-15,52617.344118,209382.9299999997,yLuna unused
30,2022-03-16,29293.435599,208263.83000000007,yLuna unused
31,2022-03-17,47485.366176,210314.91000000015,yLuna unused
32,2022-03-18,89710.939603,213474.31999999983,yLuna unused
33,2022-03-19,49163.097565,212859.1299999999,yLuna unused
34,2022-03-20,33103.555557,214109.61000000034,yLuna unused
35,2022-03-21,531163.970575,19425.070000000298,yLuna unused
36,2022-03-22,3981.6717079999953,17029.299999999814,yLuna unused
37,2022-03-23,60625.128972,15788.030000000726,yLuna unused
38,2022-03-24,43917.905378999996,10803.090000000317,yLuna unused
39,2022-03-25,40823.245819,14551.959999999963,yLuna unused
40,2022-03-26,30076.65453,17348.069999999832,yLuna unused
41,2022-03-27,36952.090719,17475.05000000028,yLuna unused
42,2022-03-28,69203.300454,0.0,yLuna unused
43,2022-03-29,163379.071288,0.0,yLuna unused
44,2022-03-30,49255.817192,0.0,yLuna unused
45,2022-03-31,59116.941919,0.0,yLuna unused
46,2022-04-01,246941.55869900002,0.0,yLuna unused
47,2022-04-02,8498.649598,0.0,yLuna unused
48,2022-04-03,1283.022682,0.0,yLuna unused
