,Time,Amount signed,Amount,Type
0,2022-02-14,31763.833200999998,31763.83,yLuna LP
1,2022-02-15,15298.587454000002,47062.42,yLuna LP
2,2022-02-16,-3949.6004840000005,43112.82,yLuna LP
3,2022-02-17,-6834.842363999999,36277.98,yLuna LP
4,2022-02-18,-7339.347156999999,28938.63,yLuna LP
5,2022-02-19,337.4934769999999,29276.12,yLuna LP
6,2022-02-20,-1702.4568729999999,27573.67,yLuna LP
7,2022-02-21,-1555.1015479999999,26018.57,yLuna LP
8,2022-02-22,3529.4248159999997,29547.99,yLuna LP
9,2022-02-23,5290.555899,34838.55,yLuna LP
10,2022-02-24,-6881.092619999999,27957.45,yLuna LP
11,2022-02-25,-2172.205694,25785.25,yLuna LP
12,2022-02-26,-2031.7789799999996,23753.47,yLuna LP
13,2022-02-27,-2167.3793629999996,21586.09,yLuna LP
14,2022-02-28,-6805.338279,14780.75,yLuna LP
15,2022-03-01,1265.766605,16046.52,yLuna LP
16,2022-03-02,1194.0815790000001,17240.6,yLuna LP
17,2022-03-03,1484.8906469999997,18725.49,yLuna LP
18,2022-03-04,900.399076,19625.89,yLuna LP
19,2022-03-05,2973.347473,22599.24,yLuna LP
20,2022-03-06,1880.293529000002,24479.53,yLuna LP
21,2022-03-07,-9020.900787,15458.63,yLuna LP
22,2022-03-08,-254.78356999999988,15203.85,yLuna LP
23,2022-03-09,238.09874299999996,15441.94,yLuna LP
24,2022-03-10,-356.045593,15085.9,yLuna LP
25,2022-03-11,551.167385,15637.07,yLuna LP
26,2022-03-12,194.83024600000005,15831.9,yLuna LP
27,2022-03-13,1027.484556,16859.38,yLuna LP
28,2022-03-14,567.182349,17426.56,yLuna LP
29,2022-03-15,2697.697306,20124.26,yLuna LP
30,2022-03-16,292.233491,20416.49,yLuna LP
31,2022-03-17,1057.2373320000002,21473.73,yLuna LP
32,2022-03-18,713.5621079999999,22187.29,yLuna LP
33,2022-03-19,-312.47393199999993,21874.82,yLuna LP
34,2022-03-20,360.95397699999995,22235.77,yLuna LP
35,2022-03-21,78607.100691,100842.87,yLuna LP
36,2022-03-22,2533.470581,103376.35,yLuna LP
37,2022-03-23,1095.0911250000001,104471.44,yLuna LP
38,2022-03-24,1097.72746,105569.16,yLuna LP
39,2022-03-25,216.58297300000007,105785.75,yLuna LP
40,2022-03-26,-853.7457599999999,104932.0,yLuna LP
41,2022-03-27,-1535.500713,103396.5,yLuna LP
42,2022-03-28,16405.656174,119802.16,yLuna LP
43,2022-03-29,30467.877818,150270.03,yLuna LP
44,2022-03-30,31472.638117,181742.67,yLuna LP
45,2022-03-31,13539.825972999999,195282.5,yLuna LP
46,2022-04-01,-538.083981,194744.41,yLuna LP
0,2022-02-14,263973.675194,263973.68,yLuna staked
1,2022-02-15,785353.2984440001,1049326.97,yLuna staked
2,2022-02-16,48822.844771000004,1098149.82,yLuna staked
3,2022-02-17,398581.740494,1496731.56,yLuna staked
4,2022-02-18,26482.353074,1523213.91,yLuna staked
5,2022-02-19,9947.130666,1533161.04,yLuna staked
6,2022-02-20,6690.475193,1539851.52,yLuna staked
7,2022-02-21,-5372.310203999999,1534479.21,yLuna staked
8,2022-02-22,-340.5623079999991,1534138.65,yLuna staked
9,2022-02-23,-1892.4545829999997,1532246.19,yLuna staked
10,2022-02-24,9215.792161000001,1541461.98,yLuna staked
11,2022-02-25,6565.445082999999,1548027.43,yLuna staked
12,2022-02-26,21591.622122,1569619.05,yLuna staked
13,2022-02-27,15350.826443,1584969.88,yLuna staked
14,2022-02-28,5056.461055000001,1590026.34,yLuna staked
15,2022-03-01,-3479.0208910000015,1586547.32,yLuna staked
16,2022-03-02,-801.9276639999986,1585745.39,yLuna staked
17,2022-03-03,-37.22533000000112,1585708.16,yLuna staked
18,2022-03-04,980.5553719999975,1586688.72,yLuna staked
19,2022-03-05,5166.354888999997,1591855.07,yLuna staked
20,2022-03-06,27689.718580000004,1619544.79,yLuna staked
21,2022-03-07,-924839.284345,694705.51,yLuna staked
22,2022-03-08,-58734.656829,635970.85,yLuna staked
23,2022-03-09,17555.501989,653526.35,yLuna staked
24,2022-03-10,-361.71974700000004,653164.63,yLuna staked
25,2022-03-11,-7391.8282089999875,645772.81,yLuna staked
26,2022-03-12,348841.856581,994614.66,yLuna staked
27,2022-03-13,-350497.544001,644117.12,yLuna staked
28,2022-03-14,1061.5780600000003,645178.7,yLuna staked
29,2022-03-15,10676.461033,655855.16,yLuna staked
30,2022-03-16,95.07410400000002,655950.23,yLuna staked
31,2022-03-17,-428.84038900000047,655521.39,yLuna staked
32,2022-03-18,-93.90845400000002,655427.48,yLuna staked
33,2022-03-19,3184.5700819999997,658612.05,yLuna staked
34,2022-03-20,-8622.751991,649989.3,yLuna staked
35,2022-03-21,585555.0895499999,1235544.39,yLuna staked
36,2022-03-22,617.7360830000001,1236162.13,yLuna staked
37,2022-03-23,-3334.239396,1232827.89,yLuna staked
38,2022-03-24,6147.774253,1238975.66,yLuna staked
39,2022-03-25,-1170.3730960000003,1237805.29,yLuna staked
40,2022-03-26,-746.6087610000003,1237058.68,yLuna staked
41,2022-03-27,670.480294,1237729.16,yLuna staked
42,2022-03-28,134.37316399999986,1237863.53,yLuna staked
43,2022-03-29,871.314169,1238734.85,yLuna staked
44,2022-03-30,-3566.963714,1235167.88,yLuna staked
45,2022-03-31,661.929652,1235829.81,yLuna staked
0,2022-03-07,1206968.667262,1206968.67,yLuna Farm staked
1,2022-03-08,156245.15410400002,1363213.82,yLuna Farm staked
2,2022-03-09,238429.85880800002,1601643.68,yLuna Farm staked
3,2022-03-10,65675.73578,1667319.42,yLuna Farm staked
4,2022-03-11,417674.05675,2084993.47,yLuna Farm staked
5,2022-03-12,-320466.597385,1764526.88,yLuna Farm staked
6,2022-03-13,373853.055136,2138379.93,yLuna Farm staked
7,2022-03-14,7363.540850999999,2145743.47,yLuna Farm staked
8,2022-03-15,38989.97997,2184733.45,yLuna Farm staked
9,2022-03-16,30025.239384,2214758.69,yLuna Farm staked
10,2022-03-17,44805.879386,2259564.57,yLuna Farm staked
11,2022-03-18,85931.88296199995,2345496.45,yLuna Farm staked
12,2022-03-19,46906.187197,2392402.64,yLuna Farm staked
13,2022-03-20,40114.880033,2432517.52,yLuna Farm staked
14,2022-03-21,61686.32422,2494203.84,yLuna Farm staked
15,2022-03-22,3226.2188919999985,2497430.06,yLuna Farm staked
16,2022-03-23,64105.550392,2561535.61,yLuna Farm staked
17,2022-03-24,41657.346647,2603192.96,yLuna Farm staked
18,2022-03-25,38028.161812,2641221.12,yLuna Farm staked
19,2022-03-26,28880.901318,2670102.02,yLuna Farm staked
20,2022-03-27,37690.124171,2707792.15,yLuna Farm staked
21,2022-03-28,71257.07232,2779049.22,yLuna Farm staked
22,2022-03-29,162445.458515,2941494.68,yLuna Farm staked
23,2022-03-30,52735.863035,2994230.54,yLuna Farm staked
24,2022-03-31,57253.732397,3051484.27,yLuna Farm staked
25,2022-04-01,4129.3174420000005,3055613.59,yLuna Farm staked
46,2022-04-01,0.0,1235829.81,yLuna staked
0,2022-02-14,0.0,0.0,yLuna Farm staked
1,2022-02-15,0.0,0.0,yLuna Farm staked
2,2022-02-16,0.0,0.0,yLuna Farm staked
3,2022-02-17,0.0,0.0,yLuna Farm staked
4,2022-02-18,0.0,0.0,yLuna Farm staked
5,2022-02-19,0.0,0.0,yLuna Farm staked
6,2022-02-20,0.0,0.0,yLuna Farm staked
7,2022-02-21,0.0,0.0,yLuna Farm staked
8,2022-02-22,0.0,0.0,yLuna Farm staked
9,2022-02-23,0.0,0.0,yLuna Farm staked
10,2022-02-24,0.0,0.0,yLuna Farm staked
11,2022-02-25,0.0,0.0,yLuna Farm staked
12,2022-02-26,0.0,0.0,yLuna Farm staked
13,2022-02-27,0.0,0.0,yLuna Farm staked
14,2022-02-28,0.0,0.0,yLuna Farm staked
15,2022-03-01,0.0,0.0,yLuna Farm staked
16,2022-03-02,0.0,0.0,yLuna Farm staked
17,2022-03-03,0.0,0.0,yLuna Farm staked
18,2022-03-04,0.0,0.0,yLuna Farm staked
19,2022-03-05,0.0,0.0,yLuna Farm staked
20,2022-03-06,0.0,0.0,yLuna Farm staked
